product_sku,product_name,category,brand,price
1,Only Price,Shoes,H&M,246.62
2,Remember World,Electronics,Zara,218.44
3,Lay While,Accessories,Samsung,12.12
4,Issue Little,Electronics,Nike,382.3
5,Behind Institution,Beauty,Zara,243.7
6,Rather Statement,Electronics,Zara,431.48
7,Maybe Sea,Shoes,Zara,106.37
8,Yeah Glass,Beauty,Zara,256.78
9,Issue Nice,Beauty,Adidas,70.46
10,Like Garden,Shoes,Adidas,479.87
11,Nearly Force,Beauty,Apple,411.91
12,Role Such,Electronics,Adidas,386.5
13,Guess Education,Beauty,Apple,134.72
14,Improve Cause,Shoes,Apple,219.61
15,Market Foreign,Electronics,Zara,273.81
16,Social Individual,Electronics,Adidas,330.89
17,Course Drug,Accessories,Zara,284.41
18,His Money,Shoes,Adidas,92.83
19,Product Into,Clothing,H&M,92.35
20,Build Million,Beauty,Samsung,59.09
21,Well Out,Shoes,H&M,478.16
22,Avoid Entire,Beauty,Samsung,236.52
23,Suddenly Treat,Accessories,Nike,102.96
24,Mention Really,Beauty,Samsung,472.04
25,Single Build,Shoes,Apple,343.52
26,Majority Floor,Clothing,Adidas,32.11
27,Plant Why,Clothing,Nike,471.67
28,Raise Standard,Beauty,Apple,221.29
29,Others Water,Shoes,H&M,231.61
30,Conference West,Shoes,H&M,136.18
31,Director Either,Accessories,Nike,360.75
32,Truth Include,Electronics,Nike,115.51
33,Practice Consider,Electronics,Apple,337.55
34,Final Family,Accessories,Adidas,182.39
35,Country Factor,Beauty,H&M,235.33
36,Car Power,Electronics,Zara,184.17
37,Reflect Same,Shoes,Adidas,328.16
38,Difficult Old,Accessories,Zara,131.16
39,Discuss Throughout,Beauty,H&M,272.27
40,Interview Goal,Beauty,H&M,188.06
41,White Relate,Electronics,Nike,44.2
42,Buy One,Electronics,Samsung,302.54
43,Without Improve,Accessories,Apple,354.3
44,For See,Beauty,Nike,399.82
45,Perform Feeling,Electronics,Zara,415.37
46,Tonight Condition,Shoes,Adidas,499.85
47,None List,Beauty,Adidas,13.23
48,Group Themselves,Accessories,Adidas,115.4
49,But Me,Beauty,Zara,481.69
50,Situation Everyone,Accessories,H&M,52.56
51,Cover Matter,Beauty,Apple,461.0
52,Foreign Green,Electronics,Zara,72.62
53,Former Son,Accessories,Apple,412.58
54,Collection His,Shoes,Nike,36.77
55,Firm Floor,Clothing,Nike,125.15
56,Right Rock,Clothing,Samsung,439.03
57,Court Company,Clothing,Nike,119.56
58,Up Rate,Accessories,Nike,308.2
59,Answer Power,Electronics,H&M,492.99
60,Message Trouble,Accessories,Adidas,203.14
61,Anyone Into,Clothing,Zara,308.73
62,Response Picture,Shoes,Samsung,251.22
63,Anyone Term,Beauty,H&M,135.53
64,Third Building,Shoes,Zara,196.99
65,Old Those,Shoes,Zara,303.54
66,These Yourself,Shoes,Samsung,396.25
67,Create Tonight,Shoes,Nike,444.5
68,Remember Beautiful,Clothing,Apple,470.06
69,American Push,Beauty,Nike,420.21
70,Half Wish,Beauty,H&M,246.24
71,Better Letter,Accessories,Samsung,291.12
72,Operation Leg,Clothing,Apple,77.88
73,End Scene,Electronics,Samsung,113.06
74,Now Up,Shoes,H&M,248.4
75,Network Author,Beauty,Apple,491.05
76,Again Central,Beauty,Nike,99.92
77,Middle Attack,Shoes,Apple,113.79
78,Society Machine,Electronics,Zara,328.49
79,Little Ground,Electronics,Samsung,109.59
80,Create Safe,Shoes,Nike,483.88
81,Drug Information,Beauty,Nike,165.57
82,Any About,Shoes,H&M,121.83
83,And Which,Shoes,Zara,282.27
84,Dinner Watch,Electronics,Zara,156.13
85,Worry Expert,Accessories,Samsung,276.29
86,Near Administration,Beauty,Zara,62.73
87,Increase Despite,Electronics,Apple,83.85
88,Impact Try,Electronics,Samsung,186.81
89,Expert Building,Beauty,Samsung,306.26
90,Citizen Account,Electronics,Samsung,181.23
91,Seem Marriage,Clothing,Nike,276.88
92,Cause Interview,Shoes,Apple,255.5
93,As Her,Shoes,Apple,212.2
94,Or Night,Clothing,Apple,54.67
95,Support Prevent,Shoes,Samsung,83.33
96,This Example,Clothing,Adidas,477.1
97,Art Last,Beauty,Samsung,445.08
98,Strategy Southern,Beauty,Nike,190.19
99,Player Black,Beauty,Nike,65.91
100,Deep West,Shoes,Nike,34.42
101,Enough Song,Accessories,H&M,287.56
102,Value Yard,Shoes,Adidas,394.89
103,Option Parent,Shoes,Adidas,437.93
104,Listen Design,Shoes,Adidas,171.24
105,Oil Notice,Electronics,H&M,182.4
106,More Recent,Clothing,Zara,121.06
107,Daughter Explain,Beauty,Adidas,398.85
108,Evidence Great,Beauty,Adidas,97.55
109,Simple West,Clothing,Nike,239.93
110,Drug Weight,Accessories,Samsung,443.17
111,Someone Determine,Shoes,Zara,220.89
112,Show Right,Clothing,Zara,257.42
