transaction_id,customer_id,time_id,transaction_amount,channel,payment_type
1,310,42,1244.94,Online,Credit Card
2,11,168,971.78,In-store,Bank Transfer
3,351,226,1343.53,Online,Bank Transfer
4,292,320,185.91,In-store,PayPal
5,229,333,2303.36,In-store,Bank Transfer
6,366,206,2838.52,Mobile app,Cash
7,354,336,1242.42,Mobile app,Credit Card
8,211,333,3339.56,Online,Bank Transfer
9,246,27,1941.66,Mobile app,PayPal
10,248,51,761.18,In-store,Credit Card
11,411,167,195.84,In-store,Bank Transfer
12,170,315,281.84,In-store,PayPal
13,80,31,1494.64,Mobile app,PayPal
14,451,349,899.34,Online,PayPal
15,470,126,428.76,Mobile app,Bank Transfer
16,493,297,1333.72,Mobile app,PayPal
17,260,35,337.68,In-store,Cash
18,61,162,1996.58,Mobile app,Credit Card
19,440,272,1706.0,Online,Credit Card
20,275,193,1974.81,Online,PayPal
21,352,57,970.75,Online,Credit Card
22,493,318,855.3,In-store,Bank Transfer
23,116,247,387.81,Online,Cash
24,261,236,534.38,In-store,Cash
25,451,76,1870.72,Mobile app,Cash
26,6,111,4640.35,Online,Bank Transfer
27,191,65,5405.67,Mobile app,Credit Card
28,75,126,696.66,Online,Cash
29,216,163,3009.65,In-store,Bank Transfer
30,481,4,3751.35,Online,Cash
31,365,191,4466.7,In-store,Credit Card
32,450,299,2515.74,Mobile app,Credit Card
33,98,85,912.58,In-store,PayPal
34,456,28,4718.26,Mobile app,Cash
35,296,192,1678.79,In-store,Bank Transfer
36,168,94,2840.85,Mobile app,PayPal
37,236,228,986.48,Mobile app,Bank Transfer
38,291,12,797.7,Mobile app,PayPal
39,394,89,2907.28,Online,PayPal
40,269,194,5709.73,Online,PayPal
41,380,230,130.56,Mobile app,Bank Transfer
42,491,147,3997.73,Online,Credit Card
43,49,320,532.61,Mobile app,Cash
44,81,194,2429.58,In-store,Cash
45,166,147,3848.63,Online,Credit Card
46,41,193,762.2,Mobile app,Bank Transfer
47,414,57,2660.81,In-store,Cash
48,455,8,3238.74,Mobile app,Cash
49,400,45,3459.72,Mobile app,Credit Card
50,86,138,1486.96,Mobile app,Bank Transfer
51,78,200,481.32,Mobile app,Cash
52,407,232,2863.77,In-store,PayPal
53,417,286,1012.67,In-store,Credit Card
54,345,52,2345.0,Mobile app,PayPal
55,270,220,900.94,In-store,PayPal
56,300,237,2158.06,Online,Cash
57,108,237,4982.86,Online,Cash
58,451,83,605.08,In-store,PayPal
59,189,186,1283.13,Online,PayPal
60,110,21,2680.65,In-store,Bank Transfer
61,357,53,3569.46,Online,PayPal
62,45,286,3446.15,Mobile app,Bank Transfer
63,276,231,2221.44,Online,Credit Card
64,331,13,630.26,In-store,Cash
65,71,363,3285.66,Mobile app,Bank Transfer
66,147,161,1529.76,In-store,Credit Card
67,76,267,3521.95,Mobile app,Credit Card
68,298,159,2975.72,Online,Credit Card
69,302,244,1636.42,In-store,Bank Transfer
70,203,31,1674.05,In-store,Credit Card
71,108,58,1361.28,Online,Cash
72,471,113,590.97,Mobile app,Credit Card
73,11,20,4785.14,Mobile app,PayPal
74,344,252,2565.3,In-store,Cash
75,240,351,62.73,Mobile app,Bank Transfer
76,21,50,1580.56,Online,Credit Card
77,149,69,6446.32,In-store,Cash
78,38,110,1568.44,Mobile app,Credit Card
79,477,300,3678.12,Online,PayPal
80,38,221,1400.52,Online,Cash
81,439,215,3806.36,Mobile app,Credit Card
82,171,88,2465.25,In-store,Credit Card
83,460,64,3393.26,Online,Credit Card
84,445,86,1073.94,Mobile app,Bank Transfer
85,375,253,121.83,Online,Credit Card
86,24,37,434.65,Online,Bank Transfer
87,429,118,2355.21,In-store,Cash
88,478,187,2563.11,Mobile app,Cash
89,349,238,1092.2,Mobile app,Cash
90,478,236,2818.12,In-store,Credit Card
91,386,58,4124.75,Online,Cash
92,191,86,3460.63,In-store,Cash
93,175,254,2783.63,In-store,Credit Card
94,498,322,2434.16,In-store,Bank Transfer
95,412,78,1526.37,In-store,Cash
96,449,135,1534.68,Mobile app,Credit Card
97,74,132,1759.1,Mobile app,Credit Card
98,6,365,2926.35,Mobile app,Credit Card
99,266,200,3787.99,Mobile app,Cash
