transaction_id,customer_id,product_sku,product_name,category,brand,price,date,quantity
1,103,P004,Daily Moisturizer,skincare,Brand C,45,2024-03-27,1
1,103,P001,Rose Essence Perfume,fragrance,Brand A,80,2024-03-27,1
1,103,P002,Vanilla Dream Perfume,fragrance,Brand B,70,2024-03-27,1
2,331,P001,Rose Essence Perfume,fragrance,Brand A,80,2024-01-02,1
2,331,P006,Lip Gloss,makeup,Brand D,22,2024-01-02,1
3,192,P006,Lip Gloss,makeup,Brand D,22,2024-02-28,1
3,192,P003,Hydrating Face Serum,skincare,Brand C,55,2024-02-28,1
3,192,P008,Shower Gel,body,Brand E,18,2024-02-28,1
3,192,P007,Body Lotion,body,Brand E,30,2024-02-28,1
4,170,P001,Rose Essence Perfume,fragrance,Brand A,80,2024-03-04,1
5,131,P003,Hydrating Face Serum,skincare,Brand C,55,2024-01-14,1
5,131,P008,Shower Gel,body,Brand E,18,2024-01-14,1
5,131,P006,Lip Gloss,makeup,Brand D,22,2024-01-14,1
6,242,P001,Rose Essence Perfume,fragrance,Brand A,80,2024-03-11,1
7,428,P005,Matte Lipstick,makeup,Brand D,25,2024-01-04,1
7,428,P008,Shower Gel,body,Brand E,18,2024-01-04,1
8,2,P001,Rose Essence Perfume,fragrance,Brand A,80,2024-02-13,1
8,2,P008,Shower Gel,body,Brand E,18,2024-02-13,1
9,162,P005,Matte Lipstick,makeup,Brand D,25,2024-03-25,1
10,208,P006,Lip Gloss,makeup,Brand D,22,2024-01-29,1
10,208,P003,Hydrating Face Serum,skincare,Brand C,55,2024-01-29,1
10,208,P008,Shower Gel,body,Brand E,18,2024-01-29,1
11,15,P002,Vanilla Dream Perfume,fragrance,Brand B,70,2024-03-21,1
12,392,P004,Daily Moisturizer,skincare,Brand C,45,2024-01-28,1
12,392,P008,Shower Gel,body,Brand E,18,2024-01-28,1
12,392,P006,Lip Gloss,makeup,Brand D,22,2024-01-28,1
13,135,P008,Shower Gel,body,Brand E,18,2024-02-04,1
13,135,P006,Lip Gloss,makeup,Brand D,22,2024-02-04,1
13,135,P007,Body Lotion,body,Brand E,30,2024-02-04,1
14,449,P008,Shower Gel,body,Brand E,18,2024-01-14,1
15,359,P005,Matte Lipstick,makeup,Brand D,25,2024-03-03,1
16,352,P002,Vanilla Dream Perfume,fragrance,Brand B,70,2024-01-15,1
16,352,P001,Rose Essence Perfume,fragrance,Brand A,80,2024-01-15,1
17,171,P001,Rose Essence Perfume,fragrance,Brand A,80,2024-02-14,1
18,62,P001,Rose Essence Perfume,fragrance,Brand A,80,2024-03-15,1
18,62,P003,Hydrating Face Serum,skincare,Brand C,55,2024-03-15,1
19,128,P002,Vanilla Dream Perfume,fragrance,Brand B,70,2024-03-02,1
19,128,P003,Hydrating Face Serum,skincare,Brand C,55,2024-03-02,1
19,128,P008,Shower Gel,body,Brand E,18,2024-03-02,1
20,121,P005,Matte Lipstick,makeup,Brand D,25,2024-02-20,1
20,121,P004,Daily Moisturizer,skincare,Brand C,45,2024-02-20,1
20,121,P002,Vanilla Dream Perfume,fragrance,Brand B,70,2024-02-20,1
21,234,P008,Shower Gel,body,Brand E,18,2024-02-27,1
22,52,P006,Lip Gloss,makeup,Brand D,22,2024-03-21,1
23,187,P008,Shower Gel,body,Brand E,18,2024-01-19,1
