sale_id,transaction_id,product_sku,quantity,unit_price,line_total
1,1,134,3,414.98,1244.94
2,2,108,1,97.55,97.55
3,2,55,3,125.15,375.45
4,2,119,1,498.78,498.78
5,3,110,1,443.17,443.17
6,3,118,1,371.74,371.74
7,3,137,1,335.38,335.38
8,3,159,2,96.62,193.24
9,4,169,2,77.8,155.6
10,4,184,1,30.31,30.31
11,5,21,4,478.16,1912.64
12,5,133,1,390.72,390.72
13,6,137,2,335.38,670.76
14,6,35,3,235.33,705.99
15,6,122,1,219.47,219.47
16,6,1,3,246.62,739.86
17,6,62,2,251.22,502.44
18,7,112,4,257.42,1029.68
19,7,7,2,106.37,212.74
20,8,88,1,186.81,186.81
21,8,44,3,399.82,1199.46
22,8,151,5,315.01,1575.05
23,8,139,2,189.12,378.24
24,9,60,4,203.14,812.56
25,9,122,4,219.47,877.88
26,9,62,1,251.22,251.22
27,10,8,2,256.78,513.56
28,10,120,1,58.5,58.5
29,10,139,1,189.12,189.12
30,11,191,3,65.28,195.84
31,12,9,4,70.46,281.84
32,13,134,2,414.98,829.96
33,13,173,3,221.56,664.68
34,14,79,3,109.59,328.77
35,14,98,3,190.19,570.57
36,15,162,2,214.38,428.76
37,16,57,1,119.56,119.56
38,16,65,4,303.54,1214.16
39,17,124,4,84.42,337.68
40,18,90,2,181.23,362.46
41,18,99,4,65.91,263.64
42,18,173,4,221.56,886.24
43,18,106,4,121.06,484.24
44,19,120,2,58.5,117.0
45,19,175,1,198.14,198.14
46,19,22,2,236.52,473.04
47,19,190,2,394.08,788.16
48,19,121,1,129.66,129.66
49,20,25,1,343.52,343.52
50,20,115,4,69.97,279.88
51,20,130,3,450.47,1351.41
52,21,168,5,86.93,434.65
53,21,199,5,107.22,536.1
54,22,167,2,343.23,686.46
55,22,124,2,84.42,168.84
56,23,136,3,129.27,387.81
57,24,146,1,281.12,281.12
58,24,124,3,84.42,253.26
59,25,173,4,221.56,886.24
60,25,37,3,328.16,984.48
61,26,68,5,470.06,2350.3
62,26,161,5,458.01,2290.05
63,27,82,4,121.83,487.32
64,27,6,5,431.48,2157.4
65,27,55,3,125.15,375.45
66,27,96,5,477.1,2385.5
67,28,18,2,92.83,185.66
68,28,92,2,255.5,511.0
69,29,181,2,251.69,503.38
70,29,53,2,412.58,825.16
71,29,161,1,458.01,458.01
72,29,111,3,220.89,662.67
73,29,88,3,186.81,560.43
74,30,141,4,450.31,1801.24
75,30,160,2,333.55,667.1
76,30,50,5,52.56,262.8
77,30,65,3,303.54,910.62
78,30,79,1,109.59,109.59
79,31,61,5,308.73,1543.65
80,31,146,3,281.12,843.36
81,31,173,3,221.56,664.68
82,31,27,3,471.67,1415.01
83,32,61,2,308.73,617.46
84,32,118,3,371.74,1115.22
85,32,121,3,129.66,388.98
86,32,190,1,394.08,394.08
87,33,162,3,214.38,643.14
88,33,13,2,134.72,269.44
89,34,12,4,386.5,1546.0
90,34,16,4,330.89,1323.56
91,34,127,5,369.74,1848.7
92,35,177,3,239.69,719.07
93,35,198,2,291.8,583.6
94,35,40,2,188.06,376.12
95,36,187,2,473.97,947.94
96,36,132,4,404.61,1618.44
97,36,142,5,17.07,85.35
98,36,139,1,189.12,189.12
99,37,1,4,246.62,986.48
100,38,107,2,398.85,797.7
101,39,180,2,69.67,139.34
102,39,115,4,69.97,279.88
103,39,69,2,420.21,840.42
104,39,11,4,411.91,1647.64
105,40,95,5,83.33,416.65
106,40,108,4,97.55,390.2
107,40,97,4,445.08,1780.32
108,40,96,4,477.1,1908.4
109,40,65,4,303.54,1214.16
110,41,191,2,65.28,130.56
111,42,77,5,113.79,568.95
112,42,62,1,251.22,251.22
113,42,6,4,431.48,1725.92
114,42,80,3,483.88,1451.64
115,43,26,2,32.11,64.22
116,43,84,3,156.13,468.39
117,44,63,2,135.53,271.06
118,44,100,4,34.42,137.68
119,44,160,1,333.55,333.55
120,44,185,5,227.69,1138.45
121,44,117,2,274.42,548.84
122,45,189,4,476.12,1904.48
123,45,188,1,209.75,209.75
124,45,170,5,346.88,1734.4
125,46,81,4,165.57,662.28
126,46,76,1,99.92,99.92
127,47,39,3,272.27,816.81
128,47,51,4,461.0,1844.0
129,48,59,5,492.99,2464.95
130,48,71,1,291.12,291.12
131,48,125,3,160.89,482.67
132,49,39,1,272.27,272.27
133,49,19,3,92.35,277.05
134,49,32,1,115.51,115.51
135,49,182,5,368.53,1842.65
136,49,189,2,476.12,952.24
137,50,118,4,371.74,1486.96
138,51,162,2,214.38,428.76
139,51,50,1,52.56,52.56
140,52,55,4,125.15,500.6
141,52,127,2,369.74,739.48
142,52,24,2,472.04,944.08
143,52,198,1,291.8,291.8
144,52,136,3,129.27,387.81
145,53,167,1,343.23,343.23
146,53,55,4,125.15,500.6
147,53,124,2,84.42,168.84
148,54,77,5,113.79,568.95
149,54,173,5,221.56,1107.8
150,54,50,4,52.56,210.24
151,54,161,1,458.01,458.01
152,55,130,2,450.47,900.94
153,56,122,5,219.47,1097.35
154,56,181,1,251.69,251.69
155,56,126,2,404.51,809.02
156,57,49,5,481.69,2408.45
157,57,139,2,189.12,378.24
158,57,138,2,276.86,553.72
159,57,78,5,328.49,1642.45
160,58,42,2,302.54,605.08
161,59,189,2,476.12,952.24
162,59,16,1,330.89,330.89
163,60,195,4,156.74,626.96
164,60,104,5,171.24,856.2
165,60,179,3,317.93,953.79
166,60,5,1,243.7,243.7
167,61,160,1,333.55,333.55
168,61,88,2,186.81,373.62
169,61,49,1,481.69,481.69
170,61,189,5,476.12,2380.6
171,62,45,3,415.37,1246.11
172,62,44,4,399.82,1599.28
173,62,32,2,115.51,231.02
174,62,127,1,369.74,369.74
175,63,86,3,62.73,188.19
176,63,97,1,445.08,445.08
177,63,167,1,343.23,343.23
178,63,134,3,414.98,1244.94
179,64,144,2,315.13,630.26
180,65,25,5,343.52,1717.6
181,65,20,4,59.09,236.36
182,65,114,1,319.05,319.05
183,65,33,3,337.55,1012.65
184,66,125,3,160.89,482.67
185,66,148,5,151.61,758.05
186,66,139,1,189.12,189.12
187,66,76,1,99.92,99.92
188,67,69,4,420.21,1680.84
