sale_id,transaction_id,product_sku,quantity,unit_price,line_total
1,1,38,1,37.1,37.1
2,1,45,1,33.62,33.62
3,1,50,1,25.24,25.24
4,2,9,1,8.99,8.99
5,2,10,2,3.99,7.98
6,2,30,1,21.42,21.42
7,3,7,1,11.99,11.99
8,3,8,1,9.99,9.99
9,4,9,1,8.99,8.99
10,4,10,1,3.99,3.99
11,4,14,1,18.99,18.99
12,5,3,1,19.99,19.99
13,5,4,1,12.99,12.99
14,5,17,1,16.99,16.99
15,6,11,1,22.5,22.5
16,6,12,1,27.99,27.99
17,6,48,1,28.04,28.04
18,7,9,1,8.99,8.99
19,7,10,1,3.99,3.99
20,7,59,1,15.87,15.87
21,8,3,1,19.99,19.99
22,8,4,1,12.99,12.99
23,9,11,1,22.5,22.5
24,9,12,1,27.99,27.99
25,10,3,1,19.99,19.99
26,10,4,1,12.99,12.99
27,11,11,1,22.5,22.5
28,11,12,2,27.99,55.98
29,11,51,1,12.04,12.04
30,12,9,1,8.99,8.99
31,12,10,1,3.99,3.99
32,12,26,1,13.83,13.83
33,13,3,1,19.99,19.99
34,13,4,1,12.99,12.99
35,13,57,2,28.98,57.96
36,13,17,1,16.99,16.99
37,14,9,1,8.99,8.99
38,14,10,1,3.99,3.99
39,14,5,1,13.5,13.5
40,15,3,1,19.99,19.99
41,15,4,1,12.99,12.99
42,15,48,1,28.04,28.04
43,16,9,1,8.99,8.99
44,16,10,1,3.99,3.99
45,16,28,1,28.62,28.62
46,17,13,1,39.99,39.99
47,17,38,1,37.1,37.1
48,17,35,1,9.29,9.29
49,18,1,1,14.99,14.99
50,18,2,1,15.99,15.99
51,19,5,1,13.5,13.5
52,19,6,1,5.99,5.99
53,20,11,1,22.5,22.5
54,20,12,1,27.99,27.99
55,20,1,1,14.99,14.99
56,20,52,1,38.39,38.39
57,21,11,1,22.5,22.5
58,21,12,1,27.99,27.99
59,21,16,1,19.5,19.5
60,22,7,1,11.99,11.99
61,22,8,1,9.99,9.99
62,23,13,2,39.99,79.98
63,23,14,1,18.99,18.99
64,23,26,1,13.83,13.83
65,24,5,1,13.5,13.5
66,24,6,1,5.99,5.99
67,25,5,2,13.5,27.0
68,25,6,1,5.99,5.99
69,25,55,1,27.65,27.65
70,26,17,1,16.99,16.99
71,26,18,1,29.99,29.99
72,26,5,1,13.5,13.5
73,27,9,1,8.99,8.99
74,27,10,1,3.99,3.99
75,28,17,1,16.99,16.99
76,28,18,1,29.99,29.99
77,28,36,1,22.86,22.86
78,29,18,1,29.99,29.99
79,29,51,1,12.04,12.04
80,29,42,1,24.34,24.34
81,30,9,1,8.99,8.99
82,30,10,1,3.99,3.99
83,30,29,1,23.18,23.18
84,31,5,1,13.5,13.5
85,31,6,1,5.99,5.99
86,31,43,1,25.2,25.2
87,31,57,1,28.98,28.98
